,q,P@1,RR
0,Table_F_Annual_Budget_2024_SDCC.csv,1,1.0
1,Annual_Budget_2018_TableB_FCC.csv,0,0.0
2,dlr_cycle_counter_new_locations.csv,1,1.0
3,Polling_Districts_2012_FCC.csv,1,1.0
4,Pedestrian_Footfall_Red_Rock__Howth_Walk___2019__2020__2022.csv,1,1.0
5,Vehicular_Fleet_FCC.csv,1,1.0
6,Table_B_-_Annual_Budget_2020.csv,0,0.0
7,SDCC_FOI_Disclosure_Log_May_2023.csv,1,1.0
8,Annual_Budget_2018_Table_F_FCC.csv,1,1.0
